chrom	start	end	strand	fc_P	fc_E	fc_A	PE_diff
chr19	30104195	30114400	+	40.7774	1.42235	14.65	39.35505
chr10	85334234	85336000	+	40.1913	0.8373219999999999	5.0	39.353978
chr18	64635800	64649500	-	42.5639	3.22591	16.69	39.33799
chr3	121656214	121659200	+	40.3637	1.03054	13.12	39.33316
chr1	95200400	95202834	-	40.5482	1.21852	2.69	39.32968
chr17	28757000	28759772	-	40.9345	1.60511	5.22	39.32939
chr15	94418300	94421800	-	40.2196	0.896394	7.41	39.323206
chr2	118992100	118995300	+	40.4476	1.12776	24.29	39.31984
chr1	138239900	138243700	-	40.8922	1.5888	11.92	39.3034
chr11	119463300	119469300	+	40.8189	1.53512	5.44	39.28378
chr9	77602214	77630900	+	41.8492	2.57642	8.08	39.272780000000004
chr2	157192500	157195100	+	41.0197	1.74987	11.57	39.26983
chr4	153384900	153389100	+	41.9642	2.72149	2.53	39.242709999999995
chr7	134338300	134340400	-	41.7911	2.56027	3.5	39.23083
chr14	32148900	32151700	+	40.8339	1.61019	11.22	39.22371
chr19	4010400	4013900	-	41.8915	2.67303	8.72	39.21847
chr1	136301878	136304400	+	41.734	2.52273	5.05	39.21127
chr3	88296200	88308200	-	43.0915	3.8914	14.87	39.200100000000006
chr11	40566200	40569122	-	40.6618	1.47604	5.14	39.18576
chr17	25928200	25930900	-	41.2056	2.03985	8.17	39.165749999999996
chr15	76436000	76438352	-	40.8626	1.74987	5.1	39.11273
chr7	107684700	107686800	+	41.0629	1.97524	9.68	39.08766
chr8	107820900	107823300	+	42.1916	3.10792	3.84	39.08368
chr16	30585300	30588045	-	40.4771	1.42774	5.86	39.04936
chr6	143047400	143049077	-	40.0621	1.01454	6.97	39.047560000000004
chr5	124925200	124929400	-	39.9911	0.977158	6.07	39.013942
chr2	106810300	106814933	-	40.7624	1.75525	2.87	39.00715
chr6	149132500	149142700	-	41.1184	2.12061	32.55	38.99779
chr7	117126100	117129926	-	40.1771	1.1808299999999998	14.5	38.99627
chr7	147322800	147324800	+	40.6191	1.63188	12.79	38.98722
chr4	62810100	62820400	-	43.6205	4.63734	22.63	38.98316
chr13	104968569	104970800	+	39.905	0.923161	6.48	38.981839
chr14	25309120	25314000	+	40.534	1.56204	3.14	38.971959999999996
chr14	25309200	25314000	+	40.534	1.56204	4.74	38.971959999999996
chr7	109043600	109046300	+	41.0188	2.05585	11.61	38.96295
chr8	8685000	8690760	-	41.221	2.27044	3.24	38.950559999999996
chr4	131883600	131887300	-	40.8764	1.9377	13.94	38.9387
chr7	105452100	105458800	-	41.1202	2.2059900000000003	6.94	38.91421
chr3	102974900	102977400	+	41.091	2.18984	4.06	38.901160000000004
chr7	148615600	148624300	-	41.8488	2.95224	25.33	38.896559999999994
chr2	32426008	32428200	+	40.677	1.79817	2.97	38.87883
chr11	60636800	60645300	+	40.5199	1.6424900000000002	10.96	38.87741
chr9	66197200	66200600	+	40.6057	1.72833	15.13	38.87737
chr12	86677100	86683800	-	40.2911	1.42251	12.36	38.86859
chr9	98499900	98502800	-	40.119	1.25606	5.0	38.86294
chr4	63205000	63210800	+	41.4354	2.58704	11.25	38.84836
chr8	3492788	3494400	+	40.0206	1.18099	5.78	38.83961
chr6	128373500	128375600	-	40.032	1.19699	20.01	38.83501
chr6	47870000	47873900	+	40.8201	1.99139	13.68	38.828709999999994
chr11	115473615	115475700	-	41.3485	2.52273	25.66	38.82577
chr14	8829300	8838900	+	41.8913	3.07577	13.06	38.81553
chr16	98180400	98184600	-	40.662	1.85171	17.33	38.81029
chr2	162842000	162844300	+	40.24800000000001	1.43851	7.93	38.80949000000001
chr14	79786600	79790873	-	40.5063	1.7067900000000005	18.06	38.799510000000005
chr19	3935358	3937200	+	41.1339	2.34582	14.18	38.788079999999994
chr8	112130800	112133800	-	40.6041	1.81971	16.46	38.78439
chr13	120193600	120199000	-	40.8349	2.06123	17.55	38.773669999999996
chr5	110538706	110540100	+	39.8623	1.08961	6.5	38.77269
chr11	51445100	51451500	-	40.2911	1.53527	18.2	38.75583
chr6	145695162	145699500	+	40.2917	1.54588	12.04	38.74582
chr1	82835400	82840800	+	39.7196	0.97685	2.89	38.74275
chr5	144577800	144581600	+	40.1196	1.37959	18.15	38.74001
chr10	66739300	66748241	-	41.32100000000001	2.58719	21.64	38.73381000000001
chr10	66739300	66748975	-	41.32100000000001	2.58719	4.83	38.73381000000001
chr13	41701138	41711000	+	40.0631	1.33113	18.44	38.73197
chr5	34123200	34126300	-	40.5618	1.83048	8.29	38.73132
chr6	85017900	85019873	-	40.6341	1.91093	3.12	38.723169999999996
chr19	56468500	56475000	+	40.8057	2.08261	9.95	38.72309
chr6	117790905	117793800	+	39.7765	1.08423	17.06	38.69227
chr3	123087000	123089264	-	39.476	0.783787	10.53	38.692213
chr19	8941700	8948800	+	40.5762	1.8894	19.64	38.6868
chr14	121764200	121778344	-	40.5057	1.83048	13.24	38.675219999999996
chr14	121764200	121779236	-	40.5057	1.83048	14.07	38.675219999999996
chr17	26916900	26920700	+	40.3057	1.63172	26.45	38.67398
chr1	136248900	136258682	-	41.1916	2.52812	18.95	38.66348
chr19	9026800	9030500	+	40.1338	1.48697	5.32	38.64683
chr12	10397491	10399900	+	39.7623	1.13253	34.48	38.62977
chr13	55700400	55702800	+	40.1204	1.50312	9.09	38.617279999999994
chr3	135148395	135155000	+	41.2767	2.66257	13.88	38.614129999999996
chr8	113520400	113522394	-	40.6345	2.03431	4.62	38.600190000000005
chr9	44580300	44582700	+	39.5764	1.00916	8.81	38.56724
chr2	163820551	163825800	+	39.8623	1.30436	10.1	38.557939999999995
chr19	29175719	29180300	+	40.2342	1.68018	17.27	38.55402
chr19	29175041	29180300	+	40.2342	1.68018	5.38	38.55402
chr10	70795300	70810200	-	40.8193	2.27583	30.06	38.54347
chr7	4395900	4397622	-	39.6329	1.10592	8.66	38.52698
chr1	75175200	75178200	-	40.148	1.62111	16.5	38.52689
chr2	166730600	166733500	+	41.3483	2.82333	17.45	38.52497
chr11	33061300	33063966	-	40.0911	1.57265	5.28	38.518449999999994
chr11	84325300	84327404	-	39.7475	1.22914	8.34	38.51836
chr4	132925000	132938000	+	42.1494	3.63388	8.02	38.51552
chr1	75312300	75314306	-	40.8756	2.36167	18.16	38.51393
chr12	87582200	87587100	+	39.4479	0.939314	5.37	38.508585999999994
chr17	86540800	86545700	-	40.4344	1.93785	9.38	38.49655
chr17	86540800	86545700	-	40.4344	1.93785	2.03	38.49655
chr1	44203700	44206100	+	40.2196	1.72833	15.65	38.49127
chr2	130492600	130496000	+	41.3489	2.86102	4.92	38.487880000000004
chr5	137745400	137750100	-	40.1773	1.6908	7.79	38.4865
chr10	18727700	18735548	-	41.1773	2.71057	7.81	38.466730000000005
chr16	32911900	32918700	+	39.6912	1.22914	12.82	38.46206
chr19	5962500	5965200	-	40.3191	1.8574	7.89	38.4617
chr14	49791065	49797900	+	41.1213	2.68364	20.12	38.43766
chr13	101438300	101441600	+	39.605	1.1808299999999998	9.56	38.42417
chr2	164856600	164860693	-	39.9912	1.5672700000000002	6.97	38.42393
chr4	8163300	8166563	-	39.7337	1.31513	1.25	38.41857
chr4	8163300	8166959	-	39.7337	1.31513	20.25	38.41857
chr17	25715400	25717400	+	40.2901	1.88432	5.87	38.40578
chr12	114065300	114069100	-	40.4632	2.06108	8.81	38.402120000000004
chr6	29113200	29115058	-	40.0198	1.63172	2.64	38.388079999999995
chr1	52901544	52908000	+	40.2771	1.8894	17.25	38.387699999999995
chr17	3556200	3559000	-	39.4614	1.07884	9.99	38.38256
chr4	97423100	97426400	-	39.7335	1.3848200000000002	17.35	38.34868
chr17	25320100	25327900	+	40.5063	2.1739900000000003	7.67	38.33231
chr11	95923800	95927700	-	40.0629	1.74987	8.32	38.31303
chr6	88790200	88792264	-	40.876	2.58181	12.05	38.29419
chr15	81186800	81201500	-	40.8914	2.5978	17.92	38.2936
chr12	73764200	73767100	-	40.5915	2.30813	19.56	38.283370000000005
chr3	137580600	137583800	+	40.0775	1.7980200000000002	7.7	38.27948
chr5	138010100	138011735	+	39.2618	0.987772	34.61	38.274028
chr7	52241878	52245100	+	40.3606	2.088	12.12	38.2726
chr1	163803900	163807113	-	39.4473	1.1756	8.5	38.271699999999996
chr3	95908073	95912800	+	40.7201	2.45289	18.4	38.267210000000006
chr5	114219600	114222299	-	39.4189	1.15945	16.86	38.25945
chr14	59819161	59829100	+	41.764	3.52097	17.65	38.243030000000005
chr5	124932756	124935100	+	38.8332	0.601186	22.08	38.232014
chr18	34488100	34491083	+	39.2764	1.04669	15.28	38.229710000000004
chr13	12347800	12350757	-	39.3045	1.07884	5.21	38.22566
chr19	5022700	5025000	+	39.5619	1.34759	4.25	38.214310000000005
chr11	69651668	69653900	+	39.8621	1.65326	17.65	38.208839999999995
chr9	72122694	72127200	+	39.5195	1.32575	15.36	38.19375
chr6	43214300	43222700	+	39.7631	1.57265	11.59	38.19045
chr19	41331100	41339231	-	40.7492	2.56042	19.13	38.18878
chr10	128062100	128063944	-	40.8061	2.61934	6.64	38.18676
chr7	17323411	17327600	+	40.5346	2.3509	4.09	38.183699999999995
chr10	30336000	30339600	-	38.9186	0.740714	21.21	38.177886
chr5	136216400	136221100	-	40.434	2.2601400000000003	18.88	38.17386
chr6	39672600	39676200	-	39.6491	1.47604	3.23	38.17306
chr13	3632400	3647600	+	41.2054	3.03254	9.88	38.17286
chr14	56373000	56379000	-	39.777	1.60496	27.53	38.17204
chr2	31426900	31430100	+	39.5904	1.43866	7.8	38.151740000000004
chr8	119678900	119684200	+	40.3334	2.19537	4.85	38.13803
chr6	117858400	117867640	+	40.4907	2.37244	24.14	38.11826
chr5	29760500	29764700	+	40.2062	2.08815	8.06	38.118050000000004
chr8	23699000	23705500	-	40.1769	2.06646	22.28	38.110440000000004
chr18	4350600	4356100	-	39.5756	1.46543	24.77	38.110170000000004
chr2	146317500	146339100	-	41.1908	3.08638	19.11	38.104420000000005
chr12	4480600	4484700	-	39.9633	1.86786	8.97	38.095439999999996
chr6	39522900	39525900	+	39.9188	1.85186	8.11	38.066939999999995
chr11	22890243	22892700	+	40.8197	2.75887	9.76	38.060829999999996
chr15	75505600	75509535	-	40.648	2.5925700000000003	18.93	38.05543
chr2	152154300	152164900	-	40.8477	2.79671	24.11	38.050990000000006
chr16	56074500	56077200	+	40.2769	2.23291	19.17	38.04399
chr5	31171100	31174200	+	40.0198	1.99677	9.24	38.02303
chr8	77556900	77560000	+	39.5762	1.56204	11.67	38.01416
chr4	134089600	134092200	-	39.8767	1.86278	12.02	38.01392
chr4	129372800	129374454	-	38.9482	0.939314	5.63	38.008886
chr9	107570300	107581200	-	42.806	4.82564	42.93	37.98036
chr19	7408000	7417200	-	40.6632	2.68918	5.15	37.97402
chr8	73919800	73922200	+	40.0186	2.05585	11.43	37.96275
chr14	70897700	70920231	-	42.5363	4.5785800000000005	18.64	37.957719999999995
chr12	71085400	71088865	-	38.9482	1.01439	6.95	37.93381
chr1	51964100	51972809	-	39.1766	1.25606	7.43	37.92054
chr19	4783000	4802800	-	40.5055	2.58704	7.43	37.918459999999996
chr2	11416300	11426300	-	41.8766	3.96124	13.51	37.91536000000001
chr7	97602500	97606800	-	40.1761	2.26506	15.21	37.91104
chr5	72556900	72559735	-	38.8621	0.966235	6.54	37.895865
chr2	143813000	143836501	-	41.7202	3.83233	38.39	37.88787
chr6	128385100	128388315	-	41.9348	4.05247	22.57	37.88233
chr1	95720500	95723200	+	39.5166	1.6428	27.39	37.873799999999996
chr6	142293781	142296800	+	38.7765	0.907163	8.99	37.869337
chr7	133933300	133938700	-	39.0047	1.1433	10.88	37.8614
chr10	110734400	110739600	+	39.719	1.87324	9.15	37.84576
chr2	163899543	163901700	+	39.262	1.4171200000000002	3.58	37.84488
chr13	101512700	101516400	-	39.4469	1.61034	17.79	37.83656
chr1	36764600	36767191	-	40.3488	2.5175	4.63	37.8313
chr12	32032900	32036695	-	39.7331	1.9054	8.26	37.8277
chr1	108690500	108694200	-	39.5766	1.76602	8.07	37.81058
chr6	124988500	124992800	+	40.1486	2.34552	5.98	37.80308
chr2	157391712	157397500	-	41.434	3.63911	29.1	37.794889999999995
chr1	16654600	16658200	+	39.4908	1.7067900000000005	11.86	37.78401
chr16	23495900	23524500	-	42.3064	4.546119999999998	30.29	37.760279999999995
chr8	75092300	75095354	-	40.232	2.47981	20.69	37.75219
chr7	30768296	30775200	+	40.4202	2.67334	24.53	37.74686
chr3	84385738	84389600	-	39.5473	1.81417	17.77	37.73313
chr19	3909800	3914700	-	40.5323	2.80194	19.39	37.73036
chr5	138186400	138192600	+	38.5322	0.8051699999999999	9.35	37.727030000000006
chr5	65883890	65885600	-	38.6036	0.88055	12.71	37.72305
chr11	3992700	4000100	-	41.6777	3.95601	27.47	37.72169
chr8	86779700	86782200	-	39.4904	1.77141	15.7	37.71899
chr9	109777748	109780500	+	39.1476	1.44928	9.63	37.698319999999995
chr2	153566200	153569800	+	40.006	2.30813	5.69	37.69787
chr11	96890887	96893100	+	39.3043	1.61034	13.62	37.69396
chr13	47287600	47290035	+	39.3762	1.68541	19.84	37.69079
chr5	130221014	130223000	+	38.4617	0.8051699999999999	9.56	37.656530000000004
chr16	56712800	56717841	-	39.7347	2.09861	11.64	37.636089999999996
chr7	132693400	132710700	+	43.1774	5.55004	19.24	37.627359999999996
chr5	98456100	98460900	-	39.0478	1.42235	11.8	37.62545
chr4	107790416	107805600	-	40.1917	2.57104	22.04	37.62066
chr1	133171000	133179900	-	40.1338	2.51735	30.34	37.61645
chr3	87860600	87863100	-	39.5325	1.92155	6.06	37.610949999999995
chr7	134150600	134162400	-	39.9194	2.31352	10.64	37.605880000000006
chr11	51500900	51502996	-	38.9753	1.37943	17.69	37.59587
chr3	95860400	95862474	-	38.5755	0.993002	3.97	37.582498
chr8	131208866	131222900	+	38.8907	1.30975	22.28	37.58095
chr9	21791800	21798300	-	41.5637	3.99355	24.34	37.57015
chr1	53840800	53842386	-	38.6475	1.09515	5.97	37.552350000000004
chr8	74684848	74695000	+	42.1055	4.56227	10.68	37.54323
chr17	56147614	56150800	+	41.0477	3.5265	23.76	37.5212
chr10	88905200	88907400	-	38.704	1.19191	4.76	37.51209
chr4	135472600	135477267	+	38.1762	0.671027	5.74	37.505173
chr3	116364862	116367000	-	39.2612	1.7766400000000002	14.94	37.48456
chr3	88383171	88385200	+	38.8334	1.35267	12.23	37.480729999999994
chr15	83178800	83181600	-	39.5622	2.09338	6.84	37.468819999999994
chr13	18083600	18085496	-	38.4625	1.00377	5.7	37.458729999999996
chr9	122713800	122717200	+	38.9184	1.4602	24.01	37.4582
chr4	6292488	6303700	+	39.0478	1.61019	9.43	37.43761
chr15	102551400	102553300	-	39.033	1.61588	6.4	37.417120000000004
chr4	123391800	123396700	-	38.5901	1.1808299999999998	14.01	37.40927
chr16	90933600	90935427	-	38.505	1.11115	8.24	37.39385
chr10	126703051	126706300	+	41.0637	3.67665	9.75	37.387049999999995
chr11	4490300	4495164	-	39.5628	2.1790700000000003	12.63	37.38373
chr9	46081500	46092400	+	39.7194	2.34029	4.55	37.37911
chr7	20152200	20160000	-	39.3049	1.93232	18.29	37.372580000000006
chr9	13552500	13558000	+	38.5052	1.13791	10.97	37.367290000000004
chr3	62309000	62311141	-	38.5188	1.16484	2.72	37.35396
chr9	100933900	100937800	-	39.81800000000001	2.47428	29.02	37.34372000000001
chr4	125996700	125999328	-	38.7761	1.43328	3.58	37.342819999999996
chr3	89574300	89577396	-	38.7312	1.39051	15.18	37.34069
chr13	23799600	23803700	-	39.8621	2.52812	43.81	37.33398
chr12	99496000	99498500	-	38.3764	1.04669	9.2	37.32971
chr5	24191588	24194500	+	38.4765	1.14868	6.82	37.32782
chr10	110444400	110447446	-	38.19	0.864397	15.72	37.325603
chr8	122432100	122435360	+	38.1331	0.810709	18.79	37.322390999999996
chr17	56426300	56431400	-	39.8613	2.54965	32.32	37.31165
chr13	12656900	12662600	+	38.9338	1.63172	6.39	37.30208
chr9	69849600	69862700	+	40.4634	3.16684	18.59	37.29656
chr12	55960200	55963903	-	38.4339	1.1433	12.9	37.2906
chr4	151398200	151403200	-	40.4468	3.16145	14.15	37.28535
chr1	184261300	184272800	-	39.1768	1.89463	3.38	37.28217
chr13	95557700	95565600	+	38.8905	1.61019	15.74	37.28031
chr6	71771700	71774700	-	38.6905	1.41697	4.38	37.27353
chr9	116074900	116085400	-	39.5912	2.31875	18.22	37.27245
chr14	64161600	64163571	-	38.705	1.43328	8.49	37.271719999999995
chr4	40644800	40651900	-	40.3622	3.1025400000000003	24.19	37.259660000000004
chr8	87949600	87956853	-	38.8614	1.60496	10.29	37.256440000000005
chr19	42244300	42246800	+	39.4337	2.17922	5.06	37.25448
chr13	29945300	29947881	-	37.7903	0.558266	14.44	37.232034
chr1	80319900	80337384	-	39.4916	2.25968	12.08	37.231919999999995
chr1	174305300	174312000	+	38.933	1.7071	4.83	37.2259
chr4	19494700	19502000	-	39.6044	2.41013	10.25	37.194269999999996
chr9	57107100	57110788	-	40.4909	3.3116	16.88	37.179300000000005
chr3	90067700	90071100	+	39.3329	2.16861	22.31	37.16429
chr11	100580200	100599876	-	40.8483	3.68757	9.75	37.16073
chr11	40501500	40507900	-	40.1623	3.00577	14.95	37.156530000000004
chr2	32217000	32220100	+	39.0474	1.89478	13.31	37.152620000000006
chr11	69655700	69661400	+	40.4903	3.34944	30.32	37.140859999999996
chr8	97381165	97383400	+	37.934	0.794402	2.86	37.139598
chr15	98591100	98594300	-	39.3622	2.22753	2.8	37.13467
chr9	56255300	56266250	-	38.4607	1.35805	10.84	37.102650000000004
chr6	146577800	146583800	-	39.577	2.47443	19.53	37.10257
chr16	44173315	44176900	+	38.8771	1.7820200000000002	18.88	37.095079999999996
chr19	8994000	8997000	+	39.4333	2.36167	15.14	37.07163
chr13	45094800	45098300	-	39.4051	2.34029	27.06	37.064809999999994
chr2	71290500	71292400	+	37.7326	0.671027	2.86	37.061572999999996
chr5	69947847	69949400	+	37.8039	0.756866	4.52	37.047034
chr14	48185800	48188470	-	37.732	0.6977939999999999	13.71	37.034206
chr15	76729000	76738700	+	40.3338	3.30114	15.58	37.03265999999999
chr9	65308100	65311000	+	38.0469	1.01977	6.29	37.02713
chr1	93307400	93312500	-	40.1334	3.10777	19.79	37.02563
chr11	116975200	116983600	+	38.4463	1.42266	14.29	37.02364
chr16	8470541	8472100	+	37.7748	0.751636	4.64	37.023164
chr2	28496148	28499500	+	38.6903	1.6692599999999995	19.04	37.02104
chr2	155061922	155067900	+	40.0478	3.0327	10.84	37.015100000000004
chr5	124460000	124483000	-	42.06399999999999	5.05624	15.15	37.00775999999999
chr9	108362100	108365200	+	39.2909	2.29198	9.27	36.99892
chr15	88561200	88564280	-	39.4766	2.48504	8.69	36.99156
chr9	117949318	117955200	+	38.062	1.08961	25.3	36.97239
chr18	12324300	12329500	+	37.6466	0.687487	14.84	36.959113
chr13	49063425	49068000	+	39.5187	2.56581	25.6	36.952890000000004
chr8	108424131	108427900	+	38.6895	1.7391	26.54	36.9504
chr3	100485300	100490291	-	39.4912	2.54427	11.21	36.94693
chr11	4086506	4099900	+	41.0339	4.09	10.27	36.9439
chr4	125925200	125934215	-	38.9911	2.06123	29.04	36.92987
chr2	166840050	166843300	+	38.8326	1.91632	7.09	36.91628
chr11	4886574	4896200	+	39.2187	2.30813	11.18	36.91057
chr14	67623900	67627723	-	38.3042	1.42805	14.29	36.87615
chr10	121884600	121892900	+	38.2752	1.40097	9.97	36.87423
chr17	74793800	74796600	+	38.276	1.41728	11.34	36.858720000000005
chr10	75226300	75228200	-	37.7895	0.950237	7.8	36.839262999999995
chr11	78141206	78143300	+	38.4034	1.58357	5.68	36.819829999999996
chr7	116846500	116852500	+	38.7606	1.94339	10.26	36.817209999999996
chr3	52819500	52821498	-	37.7899	0.97685	3.61	36.813050000000004
chr5	29895634	29898500	+	38.7619	1.9537	14.49	36.8082
chr5	23948700	23954300	-	39.6199	2.81256	19.23	36.80734
chr8	18594445	18596500	+	37.4895	0.6925640000000001	5.47	36.796936
chr10	22447500	22451962	-	39.7052	2.90917	24.08	36.796029999999995
chr10	80064500	80067500	+	38.9612	2.1899900000000003	12.34	36.771209999999996
chr7	126758300	126761975	+	38.8342	2.06661	29.81	36.767590000000006
chr5	65725400	65727800	-	37.5043	0.7408680000000001	3.88	36.763432
chr14	55082100	55085100	+	39.5908	2.84471	10.35	36.74609
chr8	125587800	125591500	+	39.0334	2.29183	20.07	36.74157
chr17	79315000	79317500	+	39.7479	3.01116	5.89	36.736740000000005
chr15	37889600	37892800	-	37.8466	1.11146	12.3	36.73514
chr4	106985800	106988200	+	38.0329	1.29898	12.02	36.73392
chr19	56895100	56897500	-	38.3325	1.5995700000000002	3.11	36.73293
chr2	34261600	34266100	+	38.8188	2.09338	15.68	36.72542
chr1	129764995	129767000	+	37.5466	0.8373219999999999	8.2	36.709278
chr16	5202100	5204800	-	38.3189	1.61573	9.1	36.70317
chr9	74881900	74891600	+	39.6914	2.98978	10.89	36.70162
chr3	40547800	40550600	+	38.5761	1.90032	7.21	36.675779999999996
chr3	33971400	33981200	-	38.9334	2.25968	9.28	36.673719999999996
chr4	132894336	132896200	-	37.6322	0.966235	20.05	36.665965
chr18	42420000	42422163	-	37.9896	1.3419	7.46	36.6477
chr15	79508300	79519010	-	40.0054	3.36006	29.74	36.645340000000004
chr9	119266346	119270400	+	37.8892	1.24529	12.67	36.643910000000005
chr8	98374000	98378700	-	38.4898	1.85186	16.41	36.63794
chr4	117791700	117812200	-	40.5628	3.93447	18.55	36.628330000000005
chr15	79151100	79159900	-	42.0049	5.38898	47.7	36.61592
chr2	130999800	131006506	-	39.9483	3.3332900000000003	3.18	36.615010000000005
chr5	138601400	138604400	+	38.8476	2.23291	3.81	36.61469
chr7	26404086	26405800	+	38.5324	1.93247	11.85	36.59993
chr19	6075400	6078200	-	40.99100000000001	4.3959800000000016	14.77	36.595020000000005
chr2	149960700	149962784	-	37.7758	1.1808299999999998	3.21	36.594969999999996
chr4	101320029	101323200	+	38.0618	1.47604	17.35	36.58576
chr1	133722500	133726700	+	38.3184	1.74448	8.55	36.573919999999994
chr14	76548800	76553600	+	38.3749	1.81971	18.22	36.555189999999996
chr2	128954200	128957500	+	39.1037	2.55504	12.03	36.548660000000005
chr18	12278600	12280390	-	37.418	0.869627	10.35	36.548373
chr5	120949600	120953797	-	39.0334	2.4852	13.5	36.5482
chr7	148450000	148453100	-	38.4617	1.91632	11.67	36.54538
chr17	66459800	66462600	+	38.6621	2.1203	4.78	36.5418
chr6	97755900	97758900	+	37.418	0.8857799999999999	2.78	36.53222
chr17	36393500	36395600	-	37.3899	0.858859	9.01	36.531040999999995
chr11	5627200	5641387	-	39.4055	2.87717	20.15	36.528330000000004
chr1	136350900	136354100	+	38.1329	1.61034	4.67	36.52256
chr6	86959100	86961900	+	38.8905	2.37244	7.5	36.518060000000006
chr11	106989600	106993234	-	38.5619	2.04508	7.05	36.51682
chr19	5608800	5611000	-	39.1472	2.6678	17.29	36.4794
chr7	135439700	135441978	-	38.819	2.36705	3.64	36.451950000000004
chr19	45730400	45735700	-	39.8479	3.39759	15.81	36.45031
chr5	36921600	36925900	-	39.4327	2.9843900000000003	12.7	36.44831
chr13	70772400	70777356	-	38.9903	2.5495	22.06	36.440799999999996
chr2	13464800	13466900	-	37.5899	1.1593	15.87	36.4306
chr5	37079500	37093300	-	39.3917	2.96285	18.84	36.42885
chr9	57482000	57493074	-	41.3062	4.8791699999999985	22.72	36.42703
chr8	108378100	108388600	+	39.7766	3.36544	12.91	36.41116
chr14	56096800	56101500	+	39.3039	2.9147	19.66	36.3892
chr2	37211000	37215700	-	37.7319	1.36344	14.31	36.368460000000006
chr11	100941700	100951700	+	39.7044	3.34406	9.77	36.36034
chr15	102348469	102351000	+	37.6604	1.31513	19.22	36.34527
chr11	102038000	102048600	-	38.1902	1.85171	8.54	36.33849
chr18	21447000	21458836	-	37.9906	1.65311	15.89	36.33749
chr18	21447000	21458475	-	37.9906	1.65311	8.43	36.33749
chr2	80154600	80157300	+	37.4334	1.10038	6.97	36.33302
chr11	68711900	68717000	+	37.1182	0.8159390000000001	5.11	36.302261
chr9	66359462	66363100	-	38.2317	1.94847	27.1	36.283229999999996
chr16	10544300	10547600	+	37.4895	1.22391	3.72	36.26559
chr14	73949700	73960700	+	38.8771	2.63011	13.91	36.24699
chr8	122073900	122084000	-	40.0909	3.84863	16.78	36.24227
chr19	42164817	42168500	+	38.4763	2.24352	14.77	36.232780000000005
chr11	50743700	50745440	-	37.8319	1.60526	10.28	36.226639999999996
chr3	83833600	83843834	-	39.5469	3.3279	18.23	36.219
chr1	194953800	194957300	-	37.8173	1.59973	4.28	36.21757
chr1	108653600	108659200	-	38.8174	2.6085700000000003	12.77	36.20883
chr13	58484800	58487500	-	37.776	1.57819	3.49	36.197810000000004
chr10	72116700	72119300	+	37.8616	1.68541	4.88	36.176190000000005
chr14	75131269	75136200	+	37.9754	1.83032	24.59	36.14508
chr5	143996000	143998700	+	38.0746	1.94293	7.99	36.13167
chr11	95527937	95529700	+	38.2469	2.1203	8.7	36.126599999999996
chr2	114024200	114027570	-	36.9034	0.789018	3.32	36.114382
chr15	25858700	25867400	+	40.3194	4.2295300000000005	37.33	36.089870000000005
chr9	3334800	3337200	+	37.3188	1.25068	4.79	36.06812
chr11	84952100	84953769	-	37.9904	1.92693	3.54	36.06347
chr11	84952100	84954467	-	37.9904	1.92693	9.59	36.06347
chr5	104120718	104122900	+	37.5883	1.52989	9.05	36.058409999999995
chr9	21934500	21937500	-	37.8031	1.75525	22.91	36.047850000000004
chr19	23346300	23348722	-	37.5897	1.54588	4.3	36.043820000000004
chr2	174240961	174243400	+	38.1471	2.10938	6.61	36.03772
chr10	79630160	79633000	+	37.6035	1.57281	15.58	36.03069
chr4	45025344	45027100	+	38.4755	2.44766	15.09	36.02784
chr2	69174000	69180450	-	37.6911	1.6692599999999995	17.73	36.02184
chr17	21586955	21589300	+	37.6179	1.63172	14.26	35.98618
chr16	62853100	62857900	+	37.961	1.98062	19.67	35.98038
chr6	54987200	54990500	+	36.9892	1.00916	10.18	35.980039999999995
chr16	18836000	18837700	+	37.8183	1.84648	5.18	35.97182
chr9	54997220	55002100	+	36.7473	0.778249	2.97	35.969051
chr14	56299300	56301046	-	38.3315	2.36721	7.78	35.96429
chr4	116792400	116794500	-	38.0449	2.09354	9.71	35.95136
chr2	90909000	90913500	-	38.8478	2.89871	7.15	35.94909
chr3	146182000	146185300	-	37.3905	1.45466	13.67	35.935840000000006
chr9	83441100	83444300	+	37.2036	1.27221	11.46	35.93139
chr11	97519500	97524400	-	38.0616	2.14169	14.37	35.91991
chr8	74065600	74068400	+	38.1884	2.27598	13.42	35.912420000000004
chr7	87413400	87416100	+	37.4472	1.5405	4.16	35.9067
chr18	37802100	37804900	-	38.7474	2.8504	5.42	35.897
chr2	167756500	167778800	+	39.8198	3.92894	9.92	35.89086
chr6	83080700	83089100	+	39.6189	3.73049	26.01	35.88840999999999
chr16	20299100	20302671	-	38.4759	2.59242	4.35	35.883480000000006
chr15	36102800	36105000	+	37.4326	1.55665	3.33	35.87595
chr18	36440349	36442600	+	36.8898	1.01454	23.05	35.875260000000004
chr8	126754100	126759000	+	37.4607	1.61573	6.38	35.84497
chr7	13546100	13548000	-	36.8748	1.03069	5.95	35.84411
chr12	113823100	113837500	+	40.1619	4.35321	34.89	35.808690000000006
chr4	9697412	9699300	+	36.6894	0.8910100000000001	21.19	35.79839
chr15	51690200	51698500	-	38.1616	2.36705	2.69	35.79455
chr4	115893565	115895600	+	36.4039	0.611954	13.56	35.791946
chr8	112259900	112261974	-	37.5619	1.77125	5.93	35.79065
